zde_code,zde_nom,zde_color
17825,MALMEDY CHODES,ROUGE
1088,GILEPPE,VERT
1070,WAIMES ROBERTVILLE,MAUVE
17823,MALMEDY XHOFFRAIX,VERT
1047,SANKT-VITH RODT,ORANGE
17836,MALMEDY LIGNEUVILLE PONT,FUSCHIA
16674,VIELSALM PETIT-THIER,VERT_BOUTEILLE
16676,VIELSALM FRAITURE,ROUGE
16670,VIELSALM LAGUESPRE,BLEU
16673,VIELSALM GOSSOIN,FUSCHIA
16677,VIELSALM REGNE WEZ DES POURCEAUX,ROUGE
16667,VIELSALM ENNAL,VERT_BOUTEILLE
16665,VIELSALM FARNIERES,VERT_BOUTEILLE
1039,LIERNEUX,GRIS
1093,WAIMES CHAMPAGNE,BLEU
1077,STAVELOT COO,BLEU
1018,LIERNEUX BRA,PETROLE
16669,VIELSALM LUXIBOU,NOIR
1043,LIERNEUX SART,ORANGE
13725,LIERNEUX BANEUX,CYAN
1080,STAVELOT RENARDMONT,VERT_BOUTEILLE
16664,VIELSALM DAIROMONT,NOIR
16666,VIELSALM HOURT,VERT_BOUTEILLE
16678,VIELSALM PROVEDROUX,NOIR
18279,MALMEDY WARCHIENNE,ORANGE
1078,STAVELOT HOUVEGNEZ,BLEU
1041,VIELSALM GORONNE,BLEU
16668,VIELSALM GOLONFA,PETROLE
16675,VIELSALM TROU DU LOUP,BRUN
